Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_20MA_30,-0.12904637048536544,0.022893246282361668,0.009750605546489951,218.0,2916.0,4936.0,0.0
MA_20MA_31,-0.15822879296858047,0.1486748201183441,0.009754804390640517,202.0,2934.0,4936.0,0.0
MA_20MA_32,0.1379205978011491,0.0999228275648616,0.009950756738417832,190.0,2955.0,4936.0,0.0
MA_20MA_33,0.21151035506395985,0.19413025585988009,0.010014206314083705,194.0,2967.0,4936.0,0.0
MA_20MA_34,0.23205773096720494,0.2861130855049534,0.010044653333677354,176.0,2978.0,4936.0,0.0
MA_20MA_35,0.4714328078945499,0.5073990806625648,0.010242417830670036,168.0,2993.0,4936.0,0.0
MA_20MA_36,0.4907476902886242,0.4172480523339739,0.01024366737428947,166.0,2994.0,4936.0,0.0
MA_20MA_37,0.2677314700957196,0.3438620270700352,0.010458705251744574,158.0,2995.0,4936.0,0.0
MA_20MA_38,0.3830993705685705,0.4692281122133337,0.010520974006000397,154.0,3007.0,4936.0,0.0
MA_20MA_39,0.4161406340793359,0.7452825882056715,0.010525424325133478,152.0,3010.0,4936.0,0.0
MA_20MA_40,0.37623410719909156,0.5243048191513633,0.010520554022426853,146.0,3026.0,4936.0,0.0
MA_20MA_41,0.3762341071990885,0.533034326039223,0.010520554022426862,140.0,3028.0,4936.0,0.0
MA_20MA_42,0.3762341071990884,0.6424593846502118,0.010520554022426866,138.0,3025.0,4936.0,0.0
MA_20MA_43,0.6206313079997137,0.7102006418146438,0.010449821957398108,134.0,3026.0,4936.0,0.0
MA_20MA_44,0.6206313079997132,0.7628058108578517,0.010449821957398117,128.0,3033.0,4936.0,0.0
MA_20MA_45,0.6600650761126253,0.8328651978228596,0.010455499204605055,132.0,3038.0,4936.0,0.0
MA_20MA_46,0.435288660242882,0.740247616234712,0.010219014614085956,130.0,3039.0,4936.0,0.0
MA_20MA_47,0.17624711788168582,0.5341414635955672,0.010268713966496161,126.0,3038.0,4936.0,0.0
MA_20MA_48,0.242703304448869,0.6540016841079643,0.010289183324171376,126.0,3037.0,4936.0,0.0
MA_20MA_49,0.3287247812409042,0.5623976295545732,0.010306011486716728,120.0,3048.0,4936.0,0.0
MA_20MA_50,0.20422972651261842,0.4831107901712053,0.010325488467035038,118.0,3058.0,4936.0,0.0
MA_20MA_51,0.20422972651261956,0.5790965569660371,0.010325488467035049,116.0,3069.0,4936.0,0.0
MA_20MA_52,0.302538287491874,0.8003060110633449,0.010271019968351098,118.0,3091.0,4936.0,0.0
MA_20MA_53,0.3025382874918741,0.8661147251382835,0.010271019968351095,110.0,3122.0,4936.0,0.0
MA_20MA_54,0.3417399965414013,0.8736412530912077,0.010277547324236056,112.0,3133.0,4936.0,0.0
MA_20MA_55,0.40620591362062575,0.9504328624600167,0.01025823365647791,108.0,3133.0,4936.0,0.0
MA_20MA_56,0.39205244119983007,0.9722525110692533,0.01026741461282721,104.0,3153.0,4936.0,0.0
MA_20MA_57,0.40719229248379113,1.0036897552725983,0.010266141307120146,102.0,3166.0,4936.0,0.0
MA_20MA_58,0.2770959025277956,1.1741126017869163,0.010324444223112092,94.0,3169.0,4936.0,0.0
MA_20MA_59,0.23436498079946647,1.1367930122771424,0.01033343224751258,92.0,3169.0,4936.0,0.0
MA_20MA_60,0.07039622060736375,1.076224019281376,0.010264891424735386,92.0,3167.0,4936.0,0.0
MA_20MA_61,0.08046932479748527,0.8264453606447637,0.010340678221421372,92.0,3167.0,4936.0,0.0
MA_20MA_62,0.09184968720671871,0.8602872709193885,0.010339970702088076,92.0,3166.0,4936.0,0.0
MA_20MA_63,-0.018036935648252428,0.9376010301550783,0.010287483412716049,90.0,3159.0,4936.0,0.0
MA_20MA_64,0.08381798577983433,1.347275538978994,0.010314504571060215,88.0,3154.0,4936.0,0.0
MA_20MA_65,0.07765622392358029,1.3477951378815214,0.010314967300403209,86.0,3141.0,4936.0,0.0
MA_20MA_66,0.08269875000126328,1.3261851825829716,0.010315064566884273,80.0,3144.0,4936.0,0.0
MA_20MA_67,-0.037133528830324246,1.16473080064394,0.010422942238133712,80.0,3145.0,4936.0,0.0
MA_20MA_68,-0.05768384811627838,1.1472870240989597,0.010425156099028944,80.0,3154.0,4936.0,0.0
MA_20MA_69,0.0005244349969799513,1.240524019003752,0.010458713874486962,80.0,3146.0,4936.0,0.0
MA_20MA_70,-0.05739740205349981,1.3174761460363058,0.010451834550345134,78.0,3146.0,4936.0,0.0
MA_20MA_71,-0.05739740205349848,1.1967411869191742,0.010451834550345132,80.0,3143.0,4936.0,0.0
MA_20MA_72,-0.029707672795855847,1.2070884177066632,0.010447810380690682,80.0,3148.0,4936.0,0.0
MA_20MA_73,0.009915020172224795,1.2095861444127092,0.010439629020979278,80.0,3144.0,4936.0,0.0
MA_20MA_74,0.0021390141940158826,1.1118885746094178,0.010439340339183208,80.0,3152.0,4936.0,0.0
MA_20MA_75,-0.055653906780250846,0.9242609926554117,0.010422152144585898,82.0,3147.0,4936.0,0.0
MA_20MA_76,-0.1482575494108801,0.7508899260016453,0.010377042517575609,82.0,3142.0,4936.0,0.0
MA_20MA_77,-0.1492668003157705,0.6674119276023189,0.01037703328227457,82.0,3137.0,4936.0,0.0
MA_20MA_78,-0.06347805019123649,0.6374561460278056,0.010378906230311728,84.0,3138.0,4936.0,0.0
MA_20MA_79,-0.06347805019123653,0.6505412177134782,0.010378906230311721,88.0,3136.0,4936.0,0.0
MA_20MA_80,-0.06347805019123577,0.8040401150568017,0.010378906230311735,84.0,3142.0,4936.0,0.0
MA_20MA_81,-0.10949355965506136,0.6777633060231356,0.010367782377472507,86.0,3137.0,4936.0,0.0
MA_20MA_82,-0.13473559254259967,0.6950151319901805,0.010364074403677518,86.0,3140.0,4936.0,0.0
MA_20MA_83,-0.13473559254260029,0.7498356923272658,0.010364074403677523,84.0,3143.0,4936.0,0.0
MA_20MA_84,-0.13473559254259906,0.8542250786852836,0.010364074403677512,84.0,3142.0,4936.0,0.0
MA_20MA_85,-0.1357483891714876,0.9729495656936009,0.01036406574953959,86.0,3147.0,4936.0,0.0
MA_20MA_86,-0.2111336061583851,1.0937268198130878,0.010333481444416417,84.0,3147.0,4936.0,0.0
MA_20MA_87,-0.21113360615838364,1.0788159473327905,0.01033348144441642,86.0,3144.0,4936.0,0.0
MA_20MA_88,-0.29925324536288195,0.9331635479159008,0.010389901989300801,80.0,3138.0,4936.0,0.0
MA_20MA_89,-0.2683016485399877,0.8727739090196986,0.010404477093719553,78.0,3137.0,4936.0,0.0
MA_20MA_90,-0.10897997478124288,1.0051491862634543,0.010473958016247583,74.0,3158.0,4936.0,0.0
MA_20MA_91,-0.010687938134053953,1.2588552099202381,0.010524573787912328,72.0,3162.0,4936.0,0.0
MA_20MA_92,0.052297622189318826,1.3139682255785141,0.010603785027253301,64.0,3171.0,4936.0,0.0
MA_20MA_93,0.014861159825148273,1.307204059817002,0.010650375903844949,66.0,3189.0,4936.0,0.0
MA_20MA_94,-0.009693490267412383,1.3120077653969258,0.010660893145132784,66.0,3193.0,4936.0,0.0
MA_20MA_95,-0.16801430697878686,1.3151689547406273,0.010712464898667728,64.0,3200.0,4936.0,0.0
MA_20MA_96,0.09973189578568334,1.5818816801695545,0.010829619935484208,60.0,3210.0,4936.0,0.0
MA_20MA_97,0.18295283557711056,1.6324216741340893,0.010794178274984419,58.0,3214.0,4936.0,0.0
MA_20MA_98,0.17711527055750745,1.7034666249055719,0.01079406456950637,58.0,3214.0,4936.0,0.0
MA_20MA_99,0.17711527055750878,1.6579858121102857,0.010794064569506368,58.0,3214.0,4936.0,0.0
MA_20MA_100,0.2492905433024138,1.754831803801955,0.010819432032700024,60.0,3222.0,4936.0,0.0
MA_21MA_31,-0.021032893096640047,0.11604863933118836,0.0098581222367767,204.0,2923.0,4936.0,0.0
MA_21MA_32,0.05528007020720744,0.19601916416237963,0.009934390743946286,198.0,2953.0,4936.0,0.0
MA_21MA_33,0.004166063095092629,0.0675626936284992,0.009929194278169707,188.0,2967.0,4936.0,0.0
MA_21MA_34,0.4500348438086697,0.2582608720661168,0.010156406587939844,180.0,2981.0,4936.0,0.0
MA_21MA_35,0.5246862532185407,0.5316123332061977,0.010197165903666415,166.0,2985.0,4936.0,0.0
MA_21MA_36,0.5442296024298079,0.44246934087509193,0.010198386626293866,160.0,2996.0,4936.0,0.0
MA_21MA_37,0.3313129425823065,0.36633299577903333,0.010439575717554798,164.0,2991.0,4936.0,0.0
MA_21MA_38,0.38241215681117807,0.6009410747065422,0.010450925488410851,164.0,2998.0,4936.0,0.0
MA_21MA_39,0.5186449809368819,0.6539930959339428,0.010494136410720067,156.0,3003.0,4936.0,0.0
MA_21MA_40,0.4614313234673311,0.8690131612674035,0.010536387613401924,152.0,3016.0,4936.0,0.0
MA_21MA_41,0.6737126512952678,0.9659764399621109,0.010460623499760197,142.0,3037.0,4936.0,0.0
MA_21MA_42,0.6737126512952675,0.7952845187102533,0.010460623499760202,130.0,3034.0,4936.0,0.0
MA_21MA_43,0.5396463634019453,0.7927113737253053,0.010418022003218745,130.0,3035.0,4936.0,0.0
MA_21MA_44,0.39485920131374536,1.028389401281542,0.010192667531804993,130.0,3029.0,4936.0,0.0
MA_21MA_45,0.39485920131374536,0.8993285461291547,0.010192667531804993,128.0,3042.0,4936.0,0.0
MA_21MA_46,0.25885852029383816,0.7903271917844099,0.01027549366827299,128.0,3042.0,4936.0,0.0
MA_21MA_47,0.25885852029383977,0.42311733158263176,0.010275493668272979,126.0,3044.0,4936.0,0.0
MA_21MA_48,0.2897842158194431,0.5170455584492846,0.010215599458425761,118.0,3045.0,4936.0,0.0
MA_21MA_49,0.27805980959773086,0.4522178481417658,0.010265207546321537,120.0,3048.0,4936.0,0.0
MA_21MA_50,0.3016016006779663,0.35460688758518155,0.010267463048997229,118.0,3053.0,4936.0,0.0
MA_21MA_51,0.2912252279811154,0.7139184175221318,0.010268097458026667,110.0,3073.0,4936.0,0.0
